 [INFO] 2016-05-14 19:07:59,471 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.091s]
 [INFO] 2016-05-14 19:07:59,513 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.042s]
 [INFO] 2016-05-14 19:07:59,607 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.093s]
 [INFO] 2016-05-14 19:07:59,690 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.083s]
 [INFO] 2016-05-14 19:07:59,774 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.083s]
 [INFO] 2016-05-14 19:07:59,924 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.150s]
 [INFO] 2016-05-14 19:08:00,024 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.100s]
 [INFO] 2016-05-14 19:08:00,113 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.089s]
 [INFO] 2016-05-14 19:08:00,205 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.091s]
 [INFO] 2016-05-14 19:08:00,305 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.100s]
 [INFO] 2016-05-14 19:08:00,397 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.092s]
 [INFO] 2016-05-14 19:08:00,482 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.085s]
 [INFO] 2016-05-14 19:08:00,571 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.089s]
 [INFO] 2016-05-14 19:08:00,671 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.100s]
 [INFO] 2016-05-14 19:08:00,805 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.133s]
 [INFO] 2016-05-14 19:08:00,880 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.075s]
 [INFO] 2016-05-14 19:08:01,049 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.034s]
 [INFO] 2016-05-14 19:08:01,088 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.039s]
 [INFO] 2016-05-14 19:08:01,124 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.035s]
 [INFO] 2016-05-14 19:08:01,157 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.033s]
 [INFO] 2016-05-14 19:08:01,199 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.041s]
 [INFO] 2016-05-14 19:08:01,240 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.041s]
 [INFO] 2016-05-14 19:08:01,280 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.039s]
 [INFO] 2016-05-14 19:08:01,324 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.043s]
 [INFO] 2016-05-14 19:08:01,372 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.048s]
 [INFO] 2016-05-14 19:08:01,413 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.041s]
 [INFO] 2016-05-14 19:08:01,500 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.086s]
 [INFO] 2016-05-14 19:08:01,547 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.047s]
 [INFO] 2016-05-14 19:08:01,699 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.151s]
 [INFO] 2016-05-14 19:08:01,797 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.097s]
 [INFO] 2016-05-14 19:08:01,890 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.093s]
 [INFO] 2016-05-14 19:08:01,971 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.081s]
 [INFO] 2016-05-14 19:08:02,105 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.133s]
 [INFO] 2016-05-14 19:08:02,188 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.083s]
 [INFO] 2016-05-14 19:08:02,288 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.100s]
 [INFO] 2016-05-14 19:08:02,372 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.083s]
 [INFO] 2016-05-14 19:08:02,455 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.083s]
 [INFO] 2016-05-14 19:08:02,541 POST http://127.0.0.1:9200/forensic_db/file-metadata [status:201 request:0.086s]
